date,Open,High,Low,Close
2023-01-03,367.5283826540,369.4981190554,361.2749320892,364.1339416504
2023-01-04,366.3905568832,368.9722652058,363.3498989427,366.9451599121
2023-01-05,364.9945777775,365.1093151949,362.1642811519,362.7571105957
2023-01-06,365.8455090658,372.1945841874,362.7857380849,371.0758361816
2023-01-09,373.2655401902,376.4496492238,370.6838609208,370.8655090332
2023-01-10,370.2822591861,373.5332789956,369.3451883480,373.4663391113
2023-01-11,375.0439652698,378.2662998599,374.2312032408,378.1897888184
2023-01-12,379.2894696302,381.0297021014,375.2256881711,379.5667419434
2023-01-13,376.3731242643,381.6130228506,376.1053939238,381.0393066406
2023-01-17,381.0201896884,382.6935115956,379.6623956443,380.3412780762
2023-01-18,381.5269162830,382.5882663192,374.1356048315,374.3363952637
2023-01-19,372.2997525258,373.9443900152,370.2917896627,371.6113281250
2023-01-20,373.0073764154,378.6871115908,371.3627388027,378.5341186523
2023-01-23,379.3372757235,385.0074392135,378.3810918292,383.0759582520
2023-01-24,381.4026252152,383.5731520865,380.2169665589,382.6647949219
2023-01-25,378.6010242444,383.1428977378,376.3157307327,382.8082275391
2023-01-26,385.4663982165,387.1779754700,382.5022224600,387.0154113770
2023-01-27,385.9732125505,390.2760402786,385.7628509166,387.9046936035
2023-01-30,385.1509087422,387.3788338334,382.7413355346,383.0377502441
2023-01-31,383.5540574494,388.7174447402,383.2098160671,388.6696472168
2023-02-01,387.4552892384,395.5446264451,384.7206171549,392.8003540039
2023-02-02,396.6824854386,399.9813319540,394.7892597692,398.5183715820
2023-02-03,393.5557006166,398.6999743109,393.0776086998,394.2824096680
2023-02-06,391.8346069060,393.2688827500,390.2186537874,391.8728332520
2023-02-07,390.9548666867,398.2409825934,389.7118394156,396.9979553223
2023-02-08,395.0282987180,396.3669504756,391.9684982603,392.6569519043
2023-02-09,396.2521723000,396.4051652252,388.0289849488,389.2528991699
2023-02-10,388.0767823284,390.5437531230,387.2640493605,390.1612854004
2023-02-13,390.8114921464,394.8752737981,390.3525133608,394.7413940430
2023-02-14,393.2210725630,396.8641310253,390.6107090928,394.5597534180
2023-02-15,392.3701118500,395.9175463341,391.5286652577,395.8410644531
2023-02-16,390.8784101790,394.8178830323,390.2568965031,390.3907470703
2023-02-17,388.2680948063,389.6545733574,386.3461555191,389.4155273438
2023-02-21,385.3994752720,386.4512833841,381.3452649277,381.6034240723
2023-02-22,382.0146173187,383.5540887169,379.6241573428,381.0775756836
2023-02-23,383.9652350352,384.5772067864,378.8879004575,383.1046752930
2023-02-24,378.0942785898,379.8440824170,376.3922722889,379.0122070312
2023-02-27,382.3492886397,383.7070827493,379.3659992502,380.3030700684
2023-02-28,379.8249605352,381.7851259583,378.7922655293,378.8974609375
2023-03-01,378.0846868267,379.3086010755,376.1436346388,377.4440307617
2023-03-02,375.4742885041,381.2209631061,375.1396183015,380.3795166016
2023-03-03,382.1962660076,386.7285976254,381.5460679462,386.4799804688
2023-03-06,387.3022850157,389.5971497674,386.3078747491,386.7477111816
2023-03-07,386.6999520065,386.9389980102,380.2074543772,380.8193969727
2023-03-08,380.9341416374,382.1962822869,379.2129930020,381.4409179688
2023-03-09,382.2249901315,383.8887701660,373.4185434936,374.4034118652
2023-03-10,373.8583785171,375.9333106681,367.4806474810,369.0009765625
2023-03-13,365.0805347642,373.2846081187,363.9713580533,368.4749755859
2023-03-14,373.3898621470,376.2106166958,370.0910155852,374.5659790039
2023-03-15,368.9818486134,372.4240875836,366.8973453680,372.2232971191
2023-03-16,369.8711000151,379.0982697324,369.3643236649,378.7540283203
2023-03-17,377.4256197444,378.5582159134,372.9431857210,374.3253479004
2023-03-20,375.1028314855,378.3374942216,374.4021719428,377.9247436523
2023-03-21,381.2841809362,383.3670321414,379.6908541005,382.8871154785
2023-03-22,382.7142886176,386.3232414014,376.3217962205,376.3601684570
2023-03-23,379.2205184817,383.2518298830,374.6709182110,377.3776550293
2023-03-24,376.1010524310,379.9403853826,373.7590569871,379.8540039062
2023-03-27,382.1287722364,382.8966563380,379.6716016949,380.5642395020
2023-03-28,379.8731466835,380.5642277076,377.8767066648,379.7099914551
2023-03-29,383.8660584843,385.4689927075,382.6662670661,385.2290344238
2023-03-30,387.8589998975,388.1085659065,385.6226013974,387.4846801758
2023-03-31,388.4060846285,393.2436518891,388.3004877506,392.9461059570
