date,Open,High,Low,Close
2022-12-14,281.6077090524,284.8925776911,276.8564179610,280.1021728516
2022-12-15,276.0156016537,276.6804159482,269.5045805723,270.6972961426
2022-12-16,270.0227019898,271.5575657141,266.5129673450,268.1163024902
2022-12-19,268.3858519257,268.4740461209,263.1135796082,264.3483581543
2022-12-20,263.1821914651,265.8869331436,261.6044454236,264.1425781250
2022-12-21,265.1813983283,269.2776890813,264.3386037769,267.9743347168
2022-12-22,264.9657185870,265.0931201573,257.2043012810,261.4182128906
2022-12-23,260.1540875112,262.6726316301,258.2529327193,262.0062255859
2022-12-27,261.3986981115,261.5065109855,257.7629967849,258.3019714355
2022-12-28,257.9001331477,260.1540645524,254.5290154580,254.8916015625
2022-12-29,257.6943196588,262.0454127741,256.9985455071,261.1046447754
2022-12-30,258.3411677602,261.0753081096,257.0378133465,260.9479064941
2023-01-03,263.2703485086,264.7403114036,256.8809205581,259.1838684082
2023-01-04,261.3006724985,262.0944502331,257.2729577836,260.4186706543
2023-01-05,258.7528028697,258.9193819979,256.0284715076,256.3420410156
2023-01-06,258.0765406591,264.5345752838,255.1268049854,263.4173889160
2023-01-09,265.4067299330,269.7774418404,264.5149786182,265.1225585938
2023-01-10,264.0936148218,267.4745426037,263.5840382762,267.3667297363
2023-01-11,268.4348714453,272.0999698265,267.6508731910,271.9921569824
2023-01-12,272.5506968951,274.4910585507,268.2584007489,273.4620666504
2023-01-13,270.9631977365,275.5886828145,270.6300096897,275.3436889648
2023-01-17,275.1476520820,277.1860174378,273.9814790915,275.9022521973
2023-01-18,277.4408036363,278.9891814183,272.1097653106,272.3155517578
2023-01-19,270.6887785022,271.8255534388,268.4054492126,269.6401977539
2023-01-20,271.2473702442,277.3525971912,270.1889801781,277.0194091797
2023-01-23,277.8622856510,284.3987060531,277.0685078199,283.1737365723
2023-01-24,281.5567484193,283.7518838905,281.0373626192,282.5955200195
2023-01-25,278.0876288704,282.5857126973,275.5494959872,281.9683532715
2023-01-26,285.3884601875,287.6423918266,282.7425144317,287.4660034180
2023-01-27,286.1527498164,292.2874039545,286.0351575810,290.3274536133
2023-01-30,287.0642275369,288.4852040314,284.0851234302,284.4574890137
2023-01-31,284.4965853461,288.8182793759,284.3888024340,288.7202758789
2023-02-01,288.5146061712,297.3539748936,286.4468422028,294.8942565918
2023-02-02,301.4110739349,307.3987099289,300.5878980976,305.4779663086
2023-02-03,298.8336683314,306.1344962291,298.4416841954,300.0488281250
2023-02-06,297.4323573106,299.7842924007,296.1681806110,297.5107421875
2023-02-07,297.3833190998,304.8017398705,296.2661627231,303.6747741699
2023-02-08,302.3616266567,303.3023946929,297.5891511117,298.2751159668
2023-02-09,302.6556358773,302.8026262239,294.1886629395,295.6390075684
2023-02-10,293.4830431321,295.5311881263,291.2976872269,293.6986389160
2023-02-13,295.1000445280,298.9905486891,293.9240618960,298.4025573730
2023-02-14,296.8247918568,301.5580603360,294.8844296116,300.6074829102
2023-02-15,298.7944917716,303.0769794600,298.1085269394,302.9104003906
2023-02-16,298.2848915541,302.2537796224,297.0795111487,297.2265014648
2023-02-17,295.0412003342,295.8839648216,292.1306722051,295.1293945312
2023-02-21,291.3075437304,292.7481089959,288.0050308874,288.1422119141
2023-02-22,288.7203742324,290.4255220158,286.7016271144,288.3577880859
2023-02-23,292.0032780111,292.1600776676,286.6917980592,290.8763122559
2023-02-24,285.9176651676,287.1034271642,284.2418855082,286.0058593750
2023-02-27,289.1613626370,290.5529110257,287.4659943456,288.0539855957
2023-02-28,287.4267459221,290.1902834686,287.0935579061,287.6815490723
2023-03-01,287.3875822888,288.0441490293,284.3888600938,285.3688354492
2023-03-02,282.8797600655,288.5342085068,282.5955587679,287.7306213379
2023-03-03,289.4749733262,293.9142610840,288.9653669331,293.6790466309
2023-03-06,294.9137975529,297.9125198669,293.8162298963,294.0122070312
2023-03-07,294.0612334139,294.9824127073,289.7983343272,290.4059143066
2023-03-08,290.8273613887,292.4541245481,288.9752229711,291.8563537598
2023-03-09,292.3560967989,294.9530559682,285.9862556340,286.7996520996
2023-03-10,286.9661744916,288.4557561945,281.6253266680,282.7718811035
2023-03-13,280.9883849959,288.5733857719,279.4792143568,284.8690795898
2023-03-14,288.4165608378,291.9640670408,287.5737963394,291.4152832031
2023-03-15,288.8085635826,293.2772493517,287.3679984395,292.9440612793
2023-03-16,292.0326489648,301.0288153359,291.2388713383,300.6662292480
2023-03-17,300.5780518529,302.9593848654,297.2951283256,299.2452697754
2023-03-20,298.6289375937,300.6311608616,296.4205793211,300.3072814941
2023-03-21,302.2408590990,305.0479137941,300.7293519809,304.5964355469
2023-03-22,304.5277173641,309.4155616024,300.2876918297,300.4545288086
2023-03-23,304.1841703719,308.3358644989,301.3280235876,304.0173034668
2023-03-24,303.5952192637,305.2342947059,301.2690871991,305.1361694336
2023-03-27,305.8330895903,306.9127374036,302.1917605568,303.0456542969
2023-03-28,302.4666204695,302.4960640526,299.1295213060,301.4360351562
2023-03-29,305.1263998840,307.5506876103,304.3117443176,306.9323425293
2023-03-30,309.4056958219,310.4657245287,307.0206761607,309.8375549316
2023-03-31,310.0633353403,315.2259960758,309.7590750261,314.9904174805
