tier,silent,direction,field,horizon,bench,period,n,clusters,mean_diff,t,mean_resid,mean_ctrl
0.02,True,up,net_income,3,spy,2017-2026,668,198,0.01888,1.638,0.01938,0.0005
0.02,True,up,net_income,6,sector,all,982,331,0.02779,1.97,0.04058,0.01279
0.02,True,up,net_income,6,sector,2009-2016,316,134,-0.02283,-1.378,0.00359,0.02642
0.02,True,up,net_income,6,sector,2017-2026,666,197,0.05181,2.729,0.05813,0.00632
0.02,True,up,net_income,6,spy,all,982,331,0.02779,1.97,0.04321,0.01543
0.02,True,up,net_income,6,spy,2009-2016,316,134,-0.02283,-1.378,0.00897,0.0318
0.02,True,up,net_income,6,spy,2017-2026,666,197,0.05181,2.729,0.05946,0.00766
0.02,True,up,net_income,12,sector,all,972,325,-0.00108,-0.057,0.03836,0.03944
0.02,True,up,net_income,12,sector,2009-2016,316,134,-0.04288,-1.709,0.00443,0.04731
0.02,True,up,net_income,12,sector,2017-2026,656,191,0.01905,0.751,0.05471,0.03566
0.02,True,up,net_income,12,spy,all,972,325,-0.00108,-0.057,0.04996,0.05104
0.02,True,up,net_income,12,spy,2009-2016,316,134,-0.04288,-1.709,0.00619,0.04907
0.02,True,up,net_income,12,spy,2017-2026,656,191,0.01905,0.751,0.07104,0.05199
0.02,True,up,cfo,3,sector,all,827,326,-0.01024,-1.862,0.00116,0.0114
0.02,True,up,cfo,3,sector,2009-2016,242,137,-0.01339,-1.545,-0.0062,0.0072
0.02,True,up,cfo,3,sector,2017-2026,585,189,-0.00894,-1.297,0.0042,0.01314
0.02,True,up,cfo,3,spy,all,827,326,-0.01024,-1.862,-0.00375,0.00649
0.02,True,up,cfo,3,spy,2009-2016,242,137,-0.01339,-1.545,-0.0098,0.00359
0.02,True,up,cfo,3,spy,2017-2026,585,189,-0.00894,-1.297,-0.00125,0.00769
0.02,True,up,cfo,6,sector,all,826,325,-0.02229,-2.628,0.00263,0.02492
0.02,True,up,cfo,6,sector,2009-2016,242,137,-0.02115,-1.653,-0.00553,0.01562
0.02,True,up,cfo,6,sector,2017-2026,584,188,-0.02276,-2.116,0.00601,0.02877
0.02,True,up,cfo,6,spy,all,826,325,-0.02229,-2.628,-0.00227,0.02002
0.02,True,up,cfo,6,spy,2009-2016,242,137,-0.02115,-1.653,-0.00391,0.01724
0.02,True,up,cfo,6,spy,2017-2026,584,188,-0.02276,-2.116,-0.0016,0.02117
0.02,True,up,cfo,12,sector,all,823,322,-0.03209,-2.513,0.02014,0.05223
0.02,True,up,cfo,12,sector,2009-2016,242,137,-0.03897,-2.096,-0.00615,0.03282
0.02,True,up,cfo,12,sector,2017-2026,581,185,-0.02922,-1.79,0.03109,0.06032
0.02,True,up,cfo,12,spy,all,823,322,-0.03209,-2.513,0.01409,0.04618
0.02,True,up,cfo,12,spy,2009-2016,242,137,-0.03897,-2.096,0.00242,0.04139
0.02,True,up,cfo,12,spy,2017-2026,581,185,-0.02922,-1.79,0.01895,0.04818
0.02,True,up,assets,3,sector,all,110,92,-0.00367,-0.285,0.00619,0.00985
0.02,True,up,assets,3,sector,2009-2016,48,39,-0.02125,-1.082,-0.00948,0.01176
0.02,True,up,assets,3,sector,2017-2026,62,53,0.00994,0.607,0.01832,0.00838
0.02,True,up,assets,3,spy,all,110,92,-0.00367,-0.285,0.00574,0.00941
0.02,True,up,assets,3,spy,2009-2016,48,39,-0.02125,-1.082,-0.00525,0.016
0.02,True,up,assets,3,spy,2017-2026,62,53,0.00994,0.607,0.01425,0.00431
