cik,filing_date,form,items
0001031296,2006-11-02,8-K,4.02
0001032033,2007-03-01,8-K,4.02
0001034054,2005-02-28,8-K,"2.02,4.02,9.01"
0001037038,2005-06-10,8-K,"2.02,4.02,9.01"
0001038357,2021-02-24,8-K,4.02
0001043604,2006-08-10,8-K,"2.02,4.02,9.01"
0001045609,2004-10-13,8-K,"2.02,4.02,9.01"
0001045810,2006-11-06,8-K,"4.02,9.01"
0001048695,2006-10-25,8-K,"2.02,4.02,9.01"
0001048695,2006-07-20,8-K,"2.02,4.02,5.02,9.01"
0001050915,2006-11-09,8-K,4.02
0001051470,2020-02-26,8-K,"2.02,4.02,7.01,9.01"
0001051470,2006-02-13,8-K,"4.02,7.01,9.01"
0001051470,2005-02-15,8-K,"4.02,7.01,9.01"
0001053507,2006-08-07,8-K,"2.02,4.02,9.01"
0001053507,2005-02-28,8-K,"4.02,8.01,9.01"
0001054374,2006-09-12,8-K,"4.02,9.01"
0001054374,2006-07-14,8-K,"4.02,9.01"
0001063761,2016-01-13,8-K,"4.02,8.01"
0001067701,2006-04-03,8-K,"4.02,9.01"
0001067701,2006-01-26,8-K,"2.02,4.02,5.02,8.01,9.01"
0001067701,2005-07-15,8-K,"2.02,4.02,8.01,9.01"
0001067701,2005-03-14,8-K,"2.02,4.02,8.01,9.01"
0001069183,2025-05-07,8-K,"2.02,4.02,9.01"
0001069183,2006-05-16,8-K,4.02
0001069183,2005-11-25,8-K,"3.01,4.02"
0001069183,2005-11-15,8-K,4.02
0001069183,2005-04-20,8-K,4.02
0001069202,2006-02-21,8-K,"2.02,4.02,9.01"
0001069202,2004-10-06,8-K,"2.02,4.02,9.01"
0001075531,2008-03-03,8-K,4.02
0001090872,2006-01-17,8-K,4.02
0001099800,2012-02-27,8-K,4.02
0001124198,2020-09-08,8-K,"2.06,4.02,8.01"
0001130310,2005-12-16,8-K,4.02
0001137774,2006-02-06,8-K,4.02
0001145197,2013-02-08,8-K,4.02
0001145197,2010-08-04,8-K,4.02
0001174922,2006-03-15,8-K,"2.02,4.02"
0001175454,2024-02-29,8-K,4.02
0001260221,2010-02-10,8-K,"2.02,4.02,9.01"
0001267238,2006-11-14,8-K,"4.02,5.02"
0001278021,2005-08-10,8-K,"2.02,4.02,9.01"
0001279363,2008-10-08,8-K/A,4.02
0001279363,2008-07-21,8-K,"4.02,8.01,9.01"
0001280452,2026-02-27,8-K,4.02
0001280452,2008-04-29,8-K,"2.02,4.02,9.01"
0001280452,2006-01-06,8-K,"4.02,9.01"
0001318605,2013-03-07,8-K,4.02
0001336920,2008-08-13,8-K,4.02
0001375365,2018-11-15,8-K,"2.02,4.02"
0001375365,2008-05-14,8-K,4.02
0001381197,2012-08-15,8-K,4.02
0001381197,2008-04-03,8-K,4.02
0001585364,2017-04-25,8-K,"1.01,2.02,2.03,4.02,5.02,8.01,9.01"
0001596532,2015-05-14,8-K,"2.02,4.02,5.02,9.01"
0001637459,2019-05-06,8-K,"2.02,4.02"
0001637459,2017-11-06,8-K,"4.02,9.01"
0001674101,2021-04-23,8-K,"2.02,4.02,7.01,9.01"
0001681459,2017-07-24,8-K,"2.02,4.02,7.01,9.01"
0001826011,2022-01-21,8-K,4.02
0001826011,2021-05-28,8-K,4.02
