total_return,max_drawdown,sharpe_ratio,n_orders,n_trades,final_value,win_rate,n_break,rr_min,sec,n_entry_signals,breaker_blocked_bars,worst_month_dd
0.7765278856299643,-0.2700143894765207,0.531903510430956,1086,547,1776527.8856299643,0.28153564899451555,30,3.0,1.0156548999948427,4434,107,-0.10419410040294108
3.926852309450445,-0.2694856478434151,1.2630008190987727,1067,538,4926852.309450446,0.31784386617100374,40,3.0,0.6874815999763086,8818,74,-0.08927196566419793
2.1240715523027154,-0.22940723892088377,0.954425296345015,1043,525,3124071.5523027154,0.3142857142857143,50,3.0,0.7101241999771446,13154,125,-0.08912570883348547
3.1036367475859143,-0.27113557050542336,1.1524184333377507,950,479,4103636.7475859146,0.31524008350730687,60,3.0,0.6955505999503657,17060,115,-0.1134151832141479
3.3412669013963145,-0.2392649770561991,1.195856541827769,1036,523,4341266.901396315,0.3365200764818356,75,3.0,0.8175058000488207,21836,130,-0.09551723610885232
3.8203350196510195,-0.24714369014785897,1.2788426511597675,802,407,4820335.01965102,0.3194103194103194,90,3.0,1.3469934000167996,25626,77,-0.09967701574183807
1.1840944721851783,-0.2016091017765983,0.6853216859328304,659,334,2184094.472185178,0.2904191616766467,120,3.0,1.0001666999887675,30502,120,-0.09440411153687811
0.0,0.0,inf,0,0,1000000.0,,5,3.5,0.9848504000110552,0,0,0.0
0.0,0.0,inf,0,0,1000000.0,,10,3.5,1.2919396000215784,0,0,0.0
-0.012443908707321797,-0.11746005575392249,-0.027843043713794,82,41,987556.0912926781,0.1951219512195122,15,3.5,0.9803559000138193,44,0,-0.02355401140782476
1.0543450640391627,-0.1369965873949891,0.8772963615581714,468,236,2054345.0640391628,0.3008474576271186,20,3.5,1.0021723998943344,329,5,-0.06357206734209275
1.7075486733212606,-0.27803796308572337,0.9612239298469157,733,370,2707548.6733212606,0.28378378378378377,25,3.5,0.9819091999670491,948,50,-0.07183094794014822
1.204967397881306,-0.2805743586212186,0.7240462201313294,822,413,2204967.397881306,0.2784503631961259,30,3.5,0.9842583999270573,1839,88,-0.09894795690808766
1.9244531552774784,-0.2646147752210348,0.9161548379823008,817,411,2924453.1552774785,0.29683698296836986,40,3.5,0.9814816999714822,4318,118,-0.09619463036574405
2.5508968899832136,-0.2949163048507787,1.0363588244284376,897,453,3550896.8899832135,0.2958057395143488,50,3.5,0.9733276000479236,6928,105,-0.10399889266067153
4.803470243869061,-0.18990853101181593,1.4079131129359392,930,469,5803470.243869061,0.29850746268656714,60,3.5,1.3474698000354692,9670,100,-0.09270137164911452
1.986517086197111,-0.26777890871011856,0.9165522316281643,967,488,2986517.086197111,0.2930327868852459,75,3.5,1.0028321000281721,13340,133,-0.1046730951613194
1.6658364954614469,-0.2291825028661464,0.8248724991214411,679,344,2665836.495461447,0.27906976744186046,90,3.5,1.0378212000941858,16586,147,-0.0997134530362509
1.2230428363101524,-0.3648429236716241,0.6925073440536357,617,313,2223042.8363101524,0.28115015974440893,120,3.5,1.015624099993147,21340,130,-0.09947831281690889
0.0,0.0,inf,0,0,1000000.0,,5,4.0,0.9697062000632286,0,0,0.0
0.0,0.0,inf,0,0,1000000.0,,10,4.0,1.161844100104645,0,0,0.0
0.026971785302680684,-0.07065448400011054,0.20383243319821648,26,13,1026971.7853026807,0.23076923076923078,15,4.0,0.6426052000606433,13,0,-0.013167616170176477
0.29157955316719236,-0.14339673621171833,0.493267952733729,198,99,1291579.5531671923,0.26262626262626265,20,4.0,0.7374068000353873,111,0,-0.05897073482848236
1.0561986714829328,-0.2112897729172577,0.8474220149776448,476,239,2056198.6714829328,0.26359832635983266,25,4.0,0.6209414999466389,383,13,-0.06714805674043212
2.661069213449751,-0.22353613081415158,1.2978438153385112,642,323,3661069.213449751,0.29411764705882354,30,4.0,0.6425982000073418,778,15,-0.07856239224889394
3.6564404174266723,-0.20173644063104235,1.321413737466555,775,390,4656440.417426672,0.2794871794871795,40,4.0,1.0071496999589726,2110,74,-0.084550116577495
1.8675840601222795,-0.2628685646624519,0.9132000533475435,900,453,2867584.0601222795,0.282560706401766,50,4.0,0.7452117999782786,3738,60,-0.09199111681370142
2.4912297237617933,-0.24283954097572036,1.0498033330820464,833,420,3491229.723761793,0.26666666666666666,60,4.0,0.6419960999628529,5476,75,-0.09017216900849034
3.7689466788883816,-0.22132675312282757,1.26916304668505,889,448,4768946.678888381,0.2767857142857143,75,4.0,0.6489351000636816,8069,111,-0.09462852210347494
4.381781443389501,-0.20114853860248927,1.3606132616317428,751,379,5381781.443389501,0.2955145118733509,90,4.0,0.8410498999292031,10502,77,-0.08671749825791408
2.797743134330852,-0.21210250024799915,1.1124503272186106,613,311,3797743.134330852,0.3247588424437299,120,4.0,0.6630530999973416,14482,31,-0.0942436637699815
0.0,0.0,inf,0,0,1000000.0,,5,5.0,0.6124586999649182,0,0,0.0
0.0,0.0,inf,0,0,1000000.0,,10,5.0,0.6265713999746367,0,0,0.0
-0.007640844966828474,-0.007640844966828597,-0.4554915897175698,2,1,992359.1550331715,0.0,15,5.0,0.9702897999668494,1,0,-0.007640844966828486
-0.0592138577657759,-0.06872569225483893,-0.41621005017521084,26,13,940786.1422342241,0.07692307692307693,20,5.0,0.6430957999546081,14,0,-0.023554011407824982
0.5542939856692286,-0.1092226479356595,0.9785493042142629,95,48,1554293.9856692287,0.375,25,5.0,0.630306200007908,52,0,-0.055810806435840354
1.4802990181436573,-0.11508918957122627,1.324447217559536,252,127,2480299.0181436576,0.31496062992125984,30,5.0,0.6464154000859708,153,0,-0.05316979860920923
1.6308055555764946,-0.19188914861086914,1.0387793604938158,442,222,2630805.555576495,0.25675675675675674,40,5.0,0.6596364999422804,492,32,-0.07766711167560947
1.6732981166812553,-0.22815662710781037,0.8870882990595185,560,282,2673298.1166812554,0.2198581560283688,50,5.0,0.6496357000432909,1006,34,-0.07685180288158633
2.5400137932466986,-0.24985863289852772,1.1076591941971266,635,320,3540013.7932466986,0.246875,60,5.0,0.6449226000113413,1653,49,-0.07605734326440039
2.214621050045916,-0.26725421676430905,0.9974549817192545,638,323,3214621.050045916,0.22910216718266255,75,5.0,0.6295226999791339,2768,72,-0.07785069040326664
2.23598955375277,-0.3611631062796197,0.9837296409122532,678,342,3235989.5537527697,0.23391812865497075,90,5.0,0.6485233000712469,4012,80,-0.102278867804247
1.2244818734600453,-0.29970981808284547,0.6903407480230433,580,293,2224481.873460045,0.22525597269624573,120,5.0,0.6476654999423772,6320,127,-0.11242501382187398
