total_return,max_drawdown,sharpe_ratio,n_orders,n_trades,final_value,win_rate,n_break,rr_min,sec,n_entry_signals
0.0,0.0,inf,0,0,1000000.0,,5,2.5,0.2644469999941066,0
0.016837888147368123,-0.003178957569577756,0.6589285489780111,2,1,1016837.8881473681,1.0,10,2.5,0.2656836999813095,1
1.0883070352464805,-0.14120032142850458,0.9212748129856965,1037,521,2088307.0352464805,0.33397312859884837,15,2.5,0.28104929998517036,756
0.8571814460233099,-0.24294207173434068,0.6042494739491696,1704,857,1857181.44602331,0.29871645274212366,20,2.5,0.2702147000236437,3333
1.7555712268730461,-0.19033374483997678,0.9075299077967837,1941,981,2755571.226873046,0.3506625891946993,25,2.5,0.2599523001117632,6987
2.461886421512105,-0.21009724973745414,1.1209166103786081,2409,1216,3461886.421512105,0.33881578947368424,30,2.5,0.25937620003242046,10796
2.7715481267951727,-0.18064222958730258,1.1776874545966192,2240,1134,3771548.1267951727,0.3350970017636684,40,2.5,1.1455722999526188,18141
2.157344083351686,-0.2526571339230218,1.011432811113327,1857,942,3157344.083351686,0.3354564755838641,50,2.5,0.2513118999777362,24349
2.5658541866441498,-0.23574531986850178,1.1227683792139636,1799,914,3565854.18664415,0.3479212253829322,60,2.5,0.2490706000244245,29299
3.3325718470985453,-0.2072291188801082,1.266095586302801,1791,911,4332571.847098545,0.34906695938529086,75,2.5,0.22915269993245602,34696
4.6657006168847355,-0.2723375040238588,1.5221219527702745,2094,1069,5665700.616884735,0.3648269410664172,90,2.5,0.2212135000154376,38170
1.7664867497466632,-0.23500228938498613,0.9174348550766019,1166,594,2766486.7497466635,0.3282828282828283,120,2.5,0.2549666999839246,41940
0.0,0.0,inf,0,0,1000000.0,,5,3.0,0.2097154000075534,0
0.0,0.0,inf,0,0,1000000.0,,10,3.0,0.21853740001097322,0
0.45983173949895007,-0.0640229136873548,0.7640938186014379,325,164,1459831.73949895,0.3231707317073171,15,3.0,0.2165794000029564,184
0.7901140561412396,-0.17637910791553213,0.6705796533775793,1129,567,1790114.0561412396,0.2839506172839506,20,3.0,0.21921599993947893,1013
1.2808497762927098,-0.19669572122338674,0.8207156195344342,1605,808,2280849.7762927096,0.2784653465346535,25,3.0,0.5513565000146627,2537
1.4049347445090665,-0.2390690379600674,0.8367179852231836,1727,871,2404934.7445090665,0.28128587830080365,30,3.0,0.22286969993729144,4434
1.7966402502679308,-0.20803206258545914,0.9209734953769652,1719,868,2796640.250267931,0.2995391705069124,40,3.0,0.22616179997567087,8818
1.9781553041929356,-0.28880715332226936,0.9641798499984745,1510,767,2978155.3041929356,0.3089960886571056,50,3.0,0.22360639995895326,13154
3.6058635270601838,-0.20364681543954577,1.3789912449006752,2083,1059,4605863.527060184,0.32011331444759206,60,3.0,0.22313190007116646,17060
2.666699318106174,-0.18813954596199778,1.152043662725653,1702,864,3666699.318106174,0.3229166666666667,75,3.0,0.22791760007385164,21836
