threshold,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
1.0,0.75,monthly,3.3343918899696634,0.13453419168793834,-0.34276869567919854,0.8333333333333334,0.9732896123370356,0.7067105979568252,355.87164750957857,1.0032028312262593,-0.055135508009240386,-0.003985502808340868,run-e69bc78d7ea2c262,560,522,2929,2015-01-02,2026-08-26,False,0.5426
1.0,0.75,quarterly,3.2071699220833167,0.13162898290921854,-0.34357208601292466,0.9367088607594937,1.9246094464055272,0.6704243332162679,681.7658227848101,0.39869372480068016,-0.05804071678796019,-0.006890711587060672,run-41bcb6d91b8ad66f,188,158,2929,2015-01-02,2026-08-26,False,0.4904
1.0,1.0,monthly,3.340262786828035,0.13466636831696666,-0.3355806500231835,0.575,2.2091370910905592,0.6609008175732234,168.875,1.519089414223767,-0.05500333138021207,-0.003853326179312555,run-7cc89cea1d2563b3,108,80,2929,2015-01-02,2026-08-26,False,0.4881
1.0,1.0,quarterly,3.1050565304059763,0.12923846725763521,-0.34082271654343366,0.7586206896551724,5.09924924003838,0.603881756353303,263.41379310344826,0.5876860420162425,-0.060431232439543514,-0.009281227238643996,run-4e21a08d8a954965,42,29,2929,2015-01-02,2026-08-26,False,0.4943
1.05,0.5,monthly,3.4038344547753185,0.13608724276644235,-0.3497307366029483,0.9445843828715366,5.794206336279104,0.7523701585195314,871.9672544080604,0.1845091046278668,-0.05358245693073638,-0.0024324517298368598,run-7c6a2df721b7d1a3,560,397,2929,2015-01-02,2026-08-26,False,0.552
1.05,0.5,quarterly,3.4230141642540497,0.13651224322335365,-0.3463943960712177,0.9444444444444444,8.205923349317452,0.7527054774475678,911.063492063492,0.14617048942733923,-0.05315745647382508,-0.0020074512729255645,run-5fd9244a14e4ab49,188,126,2929,2015-01-02,2026-08-26,False,0.4521
1.05,0.75,monthly,3.6097062192539298,0.14056336766787836,-0.34441833426305013,0.9117647058823529,2.0479957210425144,0.73855037582733,693.8872549019608,0.2638094411466894,-0.04910633202930037,0.0020436731715991474,run-2c51464f176a555f,560,408,2929,2015-01-02,2026-08-26,False,0.5209
1.05,0.75,quarterly,3.5809105857724886,0.13994841006290315,-0.34357208601292466,0.9242424242424242,1.2287009927888528,0.7263013391577856,688.530303030303,0.24003572626895728,-0.04972128963427558,0.0014287155666239393,run-100ed966be399d3d,188,132,2929,2015-01-02,2026-08-26,False,0.5489
1.05,1.0,monthly,3.7930760269299153,0.14439897927720957,-0.3391035667251264,0.55,6.021856051656469,0.7096420158734114,203.8,0.3114302407255629,-0.04527072041996916,0.0058792847809303606,run-336339c6412019f6,70,60,2929,2015-01-02,2026-08-26,False,0.4622
1.05,1.0,quarterly,3.708760256277678,0.14265228075609282,-0.34082271654343366,0.7307692307692307,2.6479857515239,0.6879901867217512,243.15384615384616,0.32021839521290746,-0.04701741894108591,0.004132586259813609,run-f8ce0dc69d9e64d9,36,26,2929,2015-01-02,2026-08-26,False,0.5394
1.1,0.5,monthly,3.391530094253496,0.13581370056084618,-0.34973073660294796,0.9748110831234257,3.4865634445547533,0.7499923489363816,1235.6801007556676,0.15452455839539503,-0.053855999136332544,-0.0027059939354330265,run-d4d89f1538c98ef4,560,397,2929,2015-01-02,2026-08-26,False,0.54
1.1,0.5,quarterly,3.4185470738682353,0.13641340828044646,-0.3463943960712177,0.9711538461538461,6.823731417302802,0.7518220533020623,1316.9615384615386,0.11620987236771081,-0.05325629141673227,-0.0021062862158327533,run-f9185daca4db4a1b,188,104,2929,2015-01-02,2026-08-26,False,0.6673
1.1,0.75,monthly,3.5999217855996735,0.14035480674472312,-0.34441833426305,0.9509803921568627,1.1399471573656732,0.7365004667494867,885.5,0.18858078568626116,-0.04931489295245561,0.0018351122484439042,run-6bbba7b04cfc9e61,560,408,2929,2015-01-02,2026-08-26,False,0.8107
1.1,0.75,quarterly,3.5517386998002314,0.13932180416710027,-0.3435720860129249,0.9615384615384616,4.579392259605975,0.7212905317230944,913.6692307692308,0.16173978303043646,-0.05034789553007846,0.0008021096708210607,run-b643b3ed59acf88d,188,130,2929,2015-01-02,2026-08-26,False,0.403
1.1,1.0,monthly,3.7861431431865613,0.14425642056690213,-0.3391035667251263,0.5263157894736842,6.610369603486921,0.707992822215439,239.7719298245614,0.19158486418859763,-0.045413279130276596,0.005736726070622922,run-2a8653364da3d879,64,57,2929,2015-01-02,2026-08-26,False,0.4718
1.1,1.0,quarterly,3.6537627430314776,0.14149747442478566,-0.34082271654343366,0.7391304347826086,24.75062652915311,0.6796065824555476,299.5217391304348,0.19253774021560058,-0.048172225272393066,0.002977779928506452,run-3182a85972d92d60,30,23,2929,2015-01-02,2026-08-26,False,0.3044
