日期,舊來源(yfinance),新來源(Cboe),絕對差,相對差
2018-01-08,12.149999618530273,12.15,3.8146972691777137e-07,3.139668632877833e-08
2018-01-09,12.40999984741211,12.41,1.5258789076710855e-07,1.2295559439424821e-08
2018-01-10,12.359999656677246,12.36,3.433227533378158e-07,2.777692256264283e-08
2018-01-11,12.15999984741211,12.16,1.5258789076710855e-07,1.2548346437650843e-08
2018-01-12,12.199999809265137,12.2,1.9073486257070726e-07,1.5634005373168618e-08
2018-01-16,13.229999542236328,13.23,4.5776367230132564e-07,3.4600429942565796e-08
2018-01-17,13.25,13.25,0.0,0.0
2018-01-18,13.579999923706055,13.58,7.629394538355427e-08,5.618110884549493e-09
2018-01-19,13.039999961853027,13.04,3.814697180359872e-08,2.925381281839966e-09
2018-01-22,12.989999771118164,12.99,2.2888183615066282e-07,1.7619849128831888e-08
2018-01-23,13.220000267028809,13.22,2.6702880795426154e-07,2.0198850420619257e-08
2018-01-24,13.529999732971191,13.53,2.6702880795426154e-07,1.9736054192487552e-08
2018-01-25,13.680000305175781,13.68,3.051757815342171e-07,2.2308170667127462e-08
2018-01-26,13.460000038146973,13.46,3.814697180359872e-08,2.834098937257535e-09
2018-01-29,14.989999771118164,14.99,2.2888183615066282e-07,1.5268968622111566e-08
2018-01-30,15.829999923706055,15.83,7.629394538355427e-08,4.819579643162288e-09
2018-01-31,14.899999618530273,14.9,3.8146972691777137e-07,2.560199575061461e-08
2018-02-01,14.720000267028809,14.72,2.6702880795426154e-07,1.8140543689552565e-08
2018-02-02,17.030000686645508,17.03,6.866455066756316e-07,4.031975801469471e-08
2018-02-05,28.1299991607666,28.13,8.392333974427402e-07,2.983410673588763e-08
2018-02-06,23.75,23.75,0.0,0.0
2018-02-07,23.030000686645508,23.03,6.866455066756316e-07,2.9815262101741895e-08
2018-02-08,27.329999923706055,27.33,7.629394360719743e-08,2.791582283943588e-09
2018-02-09,24.920000076293945,24.92,7.629394360719743e-08,3.061554710016828e-09
2018-02-12,22.860000610351562,22.86,6.103515630684342e-07,2.6699542728448233e-08
2018-02-13,22.649999618530273,22.65,3.8146972514141453e-07,1.6841930753470254e-08
2018-02-14,19.34000015258789,19.34,1.5258789076710855e-07,7.889756440704615e-09
2018-02-15,19.079999923706055,19.08,7.629394360719743e-08,3.998634376953303e-09
2018-02-16,19.170000076293945,19.17,7.629394360719743e-08,3.979861413852797e-09
2018-02-20,20.010000228881836,20.01,2.2888183437430598e-07,1.1438372401612709e-08
2018-02-21,20.030000686645508,20.03,6.866455066756316e-07,3.428085287752561e-08
2018-02-22,19.059999465942383,19.06,5.340576159085231e-07,2.801981274253502e-08
2018-02-23,17.5,17.5,0.0,0.0
2018-02-26,16.920000076293945,16.92,7.629394360719743e-08,4.5090983016064145e-09
2018-02-27,19.020000457763672,19.02,4.5776367230132564e-07,2.406749007802855e-08
2018-02-28,19.889999389648438,19.89,6.103515630684342e-07,3.068635403709896e-08
2018-03-01,21.420000076293945,21.42,7.629394360719743e-08,3.5618087458194674e-09
2018-03-02,19.860000610351562,19.86,6.103515630684342e-07,3.073270615864446e-08
2018-03-05,19.209999084472656,19.21,9.155273446026513e-07,4.76588957957144e-08
2018-03-06,19.239999771118164,19.24,2.2888183437430598e-07,1.1896145379268066e-08
2018-03-07,18.84000015258789,18.84,1.5258789076710855e-07,8.099144879579465e-09
2018-03-08,18.18000030517578,18.18,3.051757815342171e-07,1.6786346337262417e-08
2018-03-09,17.010000228881836,17.01,2.2888183437430598e-07,1.345572200438187e-08
2018-03-12,17.799999237060547,17.8,7.629394538355427e-07,4.2861768906543665e-08
2018-03-13,18.049999237060547,18.05,7.629394538355427e-07,4.226811557249616e-08
2018-03-14,18.780000686645508,18.78,6.866455066756316e-07,3.6562592202880296e-08
2018-03-15,18.209999084472656,18.21,9.155273446026513e-07,5.0276078562975066e-08
2018-03-16,17.739999771118164,17.74,2.2888183437430598e-07,1.2902020142465841e-08
2018-03-19,19.3799991607666,19.38,8.392333974427402e-07,4.330409875051528e-08
2018-03-20,18.8799991607666,18.88,8.392333974427402e-07,4.4450923450605915e-08
2018-03-21,18.709999084472656,18.71,9.155273446026513e-07,4.893251680393952e-08
2018-03-22,21.65999984741211,21.66,1.5258789076710855e-07,7.04468568061137e-09
2018-03-23,22.790000915527344,22.79,9.155273446026513e-07,4.017232592469453e-08
2018-03-26,20.700000762939453,20.7,7.629394538355427e-07,3.6856977087724674e-08
2018-03-27,21.940000534057617,21.94,5.340576159085231e-07,2.4341732128925963e-08
2018-03-28,22.309999465942383,22.31,5.340576159085231e-07,2.3938038040915044e-08
2018-03-29,20.549999237060547,20.55,7.629394538355427e-07,3.712600886425497e-08
2018-04-02,22.56999969482422,22.57,3.051757815342171e-07,1.3521301978759015e-08
2018-04-03,21.020000457763672,21.02,4.5776367230132564e-07,2.1777529130940246e-08
2018-04-04,20.420000076293945,20.42,7.629394360719743e-08,3.736236205785761e-09
2018-04-05,19.610000610351562,19.61,6.103515630684342e-07,3.112450505209301e-08
2018-04-06,21.200000762939453,21.2,7.629394538355427e-07,3.5987708791466974e-08
2018-04-09,21.229999542236328,21.23,4.5776367230132564e-07,2.15621140919302e-08
2018-04-10,20.399999618530273,20.4,3.8146972514141453e-07,1.869949668013267e-08
2018-04-11,20.3700008392334,20.37,8.392333974427402e-07,4.119947780396477e-08
2018-04-12,19.280000686645508,19.28,6.866455066756316e-07,3.561439223138844e-08
2018-04-13,18.549999237060547,18.55,7.629394538355427e-07,4.112881321910173e-08
