group,rank_month,holding_month,picks,flow_top3_pct,flow_rank_all_pct,usd_version_picks,gross_ret_pct,net_ret_pct,spy_ret_pct,ew9_ret_pct,turnover,hits_in_top3
main_flow_1m,2017-09,2017-10,XLP|XLE|XLI,-0.000|0.000|0.000,XLP:-0.000|XLE:0.000|XLI:0.000|XLK:0.000|XLF:0.002|XLB:0.002|XLY:0.003|XLU:0.003|XLV:0.004,XLP|XLE|XLK,0.18983468339580273,0.08983468339580274,2.60449412902255,2.324271981121811,1.0,0
main_flow_1m,2017-10,2017-11,XLK|XLV|XLF,-0.004|-0.003|-0.003,XLK:-0.004|XLV:-0.003|XLF:-0.003|XLB:-0.003|XLY:-0.002|XLE:-0.002|XLU:-0.001|XLP:0.001|XLI:0.001,XLK|XLF|XLV,2.0605268638028846,1.9605268638028843,2.6042547809218775,2.762237428678123,1.0,0
main_flow_1m,2017-11,2017-12,XLI|XLV|XLP,-0.005|-0.003|-0.001,XLI:-0.005|XLV:-0.003|XLP:-0.001|XLU:-0.001|XLY:-0.001|XLE:0.001|XLB:0.002|XLF:0.003|XLK:0.006,XLI|XLV|XLP,1.6919113145633362,1.6252446478966696,1.6804188784704355,1.4649274436942674,0.6666666666666666,1
main_flow_1m,2017-12,2018-01,XLK|XLB|XLY,-0.001|-0.001|0.000,XLK:-0.001|XLB:-0.001|XLY:0.000|XLF:0.001|XLE:0.001|XLU:0.001|XLP:0.003|XLI:0.003|XLV:0.003,XLK|XLB|XLY,5.681366656233192,5.581366656233192,4.93951569529838,3.771111869036603,0.9999999999999999,2
main_flow_1m,2018-01,2018-02,XLF|XLP|XLE,-0.003|-0.000|0.001,XLF:-0.003|XLP:-0.000|XLE:0.001|XLB:0.001|XLU:0.002|XLI:0.003|XLY:0.003|XLK:0.003|XLV:0.005,XLF|XLP|XLE,-7.080933066751937,-7.180933066751938,-3.4368920430192462,-4.393584075994203,0.9999999999999999,1
main_flow_1m,2018-02,2018-03,XLU|XLI|XLE,0.001|0.002|0.002,XLU:0.001|XLI:0.002|XLE:0.002|XLP:0.003|XLK:0.004|XLB:0.004|XLV:0.005|XLF:0.006|XLY:0.006,XLU|XLI|XLE,0.7308275978023786,0.6641609311357118,-2.8769993511332914,-1.994062531596705,0.6666666666666666,2
main_flow_1m,2018-03,2018-04,XLY|XLV|XLE,-0.005|-0.004|-0.003,XLY:-0.005|XLV:-0.004|XLE:-0.003|XLK:-0.003|XLF:-0.003|XLP:-0.003|XLU:-0.002|XLB:-0.002|XLI:0.000,XLY|XLV|XLE,4.461999604746203,4.395332938079536,0.5027716875896759,0.8851331626534521,0.6666666666666666,2
main_flow_1m,2018-04,2018-05,XLF|XLY|XLV,-0.002|-0.001|-0.001,XLF:-0.002|XLY:-0.001|XLV:-0.001|XLI:-0.001|XLU:-0.001|XLB:-0.000|XLK:0.001|XLP:0.001|XLE:0.001,XLF|XLY|XLV,1.303711165596555,1.2703778322632218,3.2364525070657457,2.2611258195382518,0.3333333333333333,0
main_flow_1m,2018-05,2018-06,XLB|XLK|XLF,-0.002|-0.002|-0.002,XLB:-0.002|XLK:-0.002|XLF:-0.002|XLP:-0.002|XLU:-0.001|XLE:-0.001|XLI:-0.001|XLY:0.001|XLV:0.006,XLB|XLK|XLF,-2.2312284990333624,-2.2978951657000293,-0.6203415701877213,-0.20059218598089432,0.6666666666666666,0
main_flow_1m,2018-06,2018-07,XLV|XLY|XLE,-0.007|0.000|0.000,XLV:-0.007|XLY:0.000|XLE:0.000|XLK:0.001|XLB:0.001|XLI:0.001|XLP:0.001|XLU:0.002|XLF:0.003,XLV|XLY|XLE,3.7028030470081927,3.6028030470081926,4.471052155073907,4.197802600553148,0.9999999999999999,1
