weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak
0.0,0.2,0.1,0.7,monthly,-0.34344394099269226,420,普通,19,19,-0.3429414864315726,-0.3429150414546715,-0.0005024545611196918,,False
0.0,0.2,0.1,0.7,quarterly,-0.3428115160011118,141,普通,19,19,-0.3429414864315726,-0.34294832698054417,0.0001299704304607574,,False
0.0,0.2,0.15,0.65,monthly,-0.343882184790936,420,普通,19,19,-0.3433808193223665,-0.343354431666126,-0.0005013654685694924,,False
0.0,0.2,0.15,0.65,quarterly,-0.34325148649260473,141,普通,19,19,-0.3433808193223665,-0.34338762631340664,0.00012933282976179683,,False
0.0,0.2,0.2,0.6,monthly,-0.3443202356170092,420,普通,19,19,-0.3438194695257921,-0.34379311341572805,-0.0005007660912170753,,False
0.0,0.2,0.2,0.6,quarterly,-0.34369028584347017,141,普通,19,19,-0.3438194695257921,-0.34382626866696697,0.00012918368232195387,,False
0.0,0.2,0.25,0.55,monthly,-0.34475809382745126,420,普通,19,19,-0.3442574395579109,-0.3442310893331982,-0.0005006542695403793,,False
0.0,0.2,0.25,0.55,quarterly,-0.34412791872361537,141,普通,19,19,-0.3442574395579109,-0.34426425644392644,0.00012952083429551564,,False
0.0,0.2,0.3,0.5,monthly,-0.3451957597779184,420,普通,19,19,-0.34469473192193034,-0.3446683620347731,-0.0005010278559880454,,False
0.0,0.2,0.3,0.5,quarterly,-0.3445643897781505,141,普通,19,19,-0.34469473192193034,-0.3447015920347608,0.0001303421437798269,,False
0.0,0.2,0.35,0.45,monthly,-0.3456332338231981,420,普通,19,19,-0.3451324184207719,-0.34510605971538105,-0.0005008154024261913,,False
0.0,0.2,0.35,0.45,quarterly,-0.3449997036275565,141,普通,19,19,-0.3451324184207719,-0.3451394034098885,0.00013271479321541602,,False
0.0,0.2,0.4,0.4,monthly,-0.3460743109021093,420,普通,19,19,-0.34560080260265835,-0.3455758811132136,-0.0004735082994509199,,False
0.0,0.2,0.4,0.4,quarterly,-0.3454494487513501,141,普通,19,19,-0.34560080260265835,-0.34560876859483247,0.00015135385130826684,,False
0.0,0.2,0.45,0.35,monthly,-0.34659903632381184,420,普通,19,19,-0.3461071918030552,-0.3460813052493312,-0.0004918445207566235,,False
0.0,0.2,0.45,0.35,quarterly,-0.3459713577194885,141,普通,19,19,-0.3461071918030552,-0.34611434096534816,0.00013583408356671045,,False
0.0,0.2,0.5,0.3,monthly,-0.34712332273412017,420,普通,19,19,-0.3466297730441973,-0.34660379674472763,-0.0004935496899228786,,False
0.0,0.2,0.5,0.3,quarterly,-0.34649174715161624,141,普通,19,19,-0.3466297730441973,-0.3466370375648594,0.0001380258925810507,,False
0.0,0.2,0.55,0.25,monthly,-0.34764717111720334,420,普通,19,19,-0.34715137806288376,-0.34712528369160384,-0.000495793054319571,,False
0.0,0.2,0.55,0.25,quarterly,-0.3470106236742717,141,普通,19,19,-0.34715137806288376,-0.34715878618860024,0.00014075438861205214,,False
0.0,0.2,0.6,0.2,monthly,-0.34817058245428734,420,普通,19,19,-0.3476720106474798,-0.3476457700260689,-0.0004985718068075129,,False
0.0,0.2,0.6,0.2,quarterly,-0.34752799387551836,141,普通,19,19,-0.3476720106474798,-0.34767959047758307,0.00014401677196146379,,False
0.0,0.2,0.65,0.15,monthly,-0.3486935577236767,420,普通,19,19,-0.348191674565764,-0.34816525966271594,-0.0005018831579127192,,False
0.0,0.2,0.65,0.15,quarterly,-0.34804386430522605,141,普通,19,19,-0.348191674565764,-0.3481994540531607,0.00014781026053795054,,False
0.0,0.2,0.7,0.1,monthly,-0.3492160979007505,420,普通,19,19,-0.348710373565072,-0.3486837564947731,-0.0005057243356784702,,False
0.0,0.2,0.7,0.1,quarterly,-0.348558241475344,141,普通,19,19,-0.348710373565072,-0.348718380517163,0.00015213208972802983,,False
0.0,0.2,0.75,0.05,monthly,-0.3497382039579885,420,普通,19,19,-0.34922811137243925,-0.3492012643942525,-0.0005100925855492378,,False
0.0,0.2,0.75,0.05,quarterly,-0.34907113186017724,141,普通,19,19,-0.34922811137243925,-0.349236373452032,0.00015697951226201212,,False
0.0,0.2,0.8,0.0,monthly,-0.3502598768649694,280,普通,13,13,-0.3491208834909014,-0.3490332686159731,-0.0011389933740679759,,False
