threshold,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
22.0,0.5,quarterly,-0.008144654483924318,188,普通,5,5,-0.011920272813958873,-0.012675396479965784,0.003775618330034555,,False,cadence=quarterly,1,-0.007607738269730861,-0.004312534544228012
22.0,0.75,monthly,-0.017228664118294157,560,普通,8,8,-0.009598487842673364,-0.008644715808220765,-0.0076301762756207925,,False,cadence=monthly,1,-0.017035852728240302,0.007437364885566938
22.0,0.75,quarterly,-0.020450948997182028,188,普通,8,8,-0.017035852728240302,-0.016608965694622585,-0.003415096268941726,,False,cadence=quarterly,1,-0.009598487842673364,-0.007437364885566938
22.0,1.0,monthly,-0.026147018329746308,154,普通,5,5,-0.01150136693416437,-0.008572236655047982,-0.014645651395581938,,False,cadence=monthly,1,-0.022025050835245124,0.010523683901080754
22.0,1.0,quarterly,-0.03344510522098054,68,普通,5,5,-0.022025050835245124,-0.01974103995809804,-0.011420054385735418,,False,cadence=quarterly,1,-0.01150136693416437,-0.010523683901080754
25.0,0.5,monthly,-0.0025055056465650427,560,普通,3,3,-0.007438769513111898,-0.00908319080196085,0.004933263866546855,,False,cadence=monthly,1,-0.013626086991912256,0.006187317478800358
25.0,0.5,quarterly,-0.008075383962851568,188,孤峰,3,3,-0.013626086991912256,-0.015476321334932486,0.0055507030290606885,,True,cadence=quarterly,1,-0.007438769513111898,-0.006187317478800358
25.0,0.75,monthly,-0.001227181832032409,560,普通,5,5,-0.009408116476352646,-0.011044303405216694,0.008180934644320237,,False,cadence=monthly,1,-0.01939464675033542,0.009986530273982774
25.0,0.75,quarterly,-0.01783336052369111,188,普通,5,5,-0.01939464675033542,-0.01970690399566428,0.0015612862266443095,,False,cadence=quarterly,1,-0.009408116476352646,-0.009986530273982774
25.0,1.0,monthly,-0.0005466024759219756,132,孤峰,3,3,-0.011287366688998712,-0.014867621426690958,0.010740764213076737,,True,cadence=monthly,1,-0.02503696051380916,0.013749593824810447
25.0,1.0,quarterly,-0.028418427313382955,54,普通,3,3,-0.02503696051380916,-0.023909804913951227,-0.0033814667995737957,,False,cadence=quarterly,1,-0.011287366688998712,-0.013749593824810447
