lookback_days,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
20,1.0,quarterly,1.8087842473712996,0.09295427165073034,-0.34082271654343366,0.7936507936507936,1.2969413025112655,0.3905823165357518,143.28571428571428,1.78980268865068,-0.09671542804644839,-0.045565422845548875,run-1596fc1d56b63ded,94,63,2929,2015-01-02,2026-08-26,False,0.2287
40,0.5,monthly,3.07954562956731,0.12863276630652876,-0.34973073660294807,0.8348968105065666,2.0115233707786766,0.7125289104399378,299.03001876172607,0.8944738528211287,-0.06103693339064997,-0.009886928189750455,run-899ca77154696a12,560,533,2929,2015-01-02,2026-08-26,False,0.3878
40,0.5,quarterly,3.0261676953075654,0.12735414246709764,-0.3463943960712176,0.9467455621301775,2.3538274038157083,0.7063597416448767,685.9526627218935,0.4390564449580605,-0.06231555723008109,-0.011165552029181569,run-d1556e5428fb112b,188,169,2929,2015-01-02,2026-08-26,False,0.2235
40,0.75,monthly,2.9267789846743577,0.12493152764000581,-0.34441833426305046,0.8131868131868132,1.3894980539673787,0.6734939378026283,217.65201465201466,2.1268749639941116,-0.06473817205717292,-0.013588166856273398,run-393fe2a7803f8e43,560,546,2929,2015-01-02,2026-08-26,False,0.2916
40,0.75,quarterly,2.52348459986041,0.11448824339713837,-0.3435720860129249,0.9226519337016574,1.1737531763700844,0.5972078732693171,477.62983425414365,1.0161827740080323,-0.07518145630004036,-0.024031451099140844,run-a219f90ff56c280f,188,181,2929,2015-01-02,2026-08-26,False,0.2423
40,1.0,monthly,2.7595828527214668,0.1207267160875165,-0.3391035667251264,0.7433628318584071,1.6088300788220744,0.6199635436077794,116.21681415929204,3.347204919884445,-0.06894298360966222,-0.017792978408762705,run-feb74429a3c1ca7a,284,226,2929,2015-01-02,2026-08-26,False,0.2514
40,1.0,quarterly,2.0579753850531084,0.10097930198875305,-0.34082271654343377,0.7682926829268293,2.5077579292552294,0.4762456513191614,171.1951219512195,1.5879895777967297,-0.08869039770842568,-0.037540392507526166,run-6c508c44469abab5,110,82,2929,2015-01-02,2026-08-26,False,0.4547
60,0.5,monthly,3.0953719966894724,0.12900893519685042,-0.3497307366029482,0.8280373831775701,3.1842713453977414,0.7127185160078977,346.9140186915888,0.8224636091949273,-0.06066076450032831,-0.009510759299428795,run-22b87534b008c1a8,560,535,2929,2015-01-02,2026-08-26,False,0.3316
60,0.5,quarterly,3.1824703270286188,0.13105565743724923,-0.3463943960712178,0.9675324675324676,15.531685166643632,0.733751723353336,817.8506493506494,0.3011400861817158,-0.0586140422599295,-0.007464037059029982,run-7573daa04615e509,188,154,2929,2015-01-02,2026-08-26,False,0.2357
60,0.75,monthly,2.776649076883851,0.1211636620880947,-0.34441833426305035,0.8275229357798165,1.3058796627124072,0.6359066002777124,252.46605504587157,1.9205977789774504,-0.06850603760908403,-0.017356032408184507,run-3930bd7d799851ec,560,545,2929,2015-01-02,2026-08-26,False,0.2822
60,0.75,quarterly,2.8502497404120333,0.1230276215648618,-0.3435720860129249,0.9302325581395349,3.619723744126063,0.6593256320161023,671.9360465116279,0.6768971923919265,-0.06664207813231693,-0.015492072931417411,run-eb1b3d1ad0bdcb9c,188,172,2929,2015-01-02,2026-08-26,False,0.2347
