lookback_months,mode,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
4,rank,monthly,mode=rank、cadence=monthly,0.0002154086377375,普通,普通,,11,0.008819595945477399,-0.008604187307739899,2,-0.00015853965938233332,0.0003739482971198333,-0.004220490140866833,0.0040619504814845,560
9,rank,monthly,mode=rank、cadence=monthly,-1.508396134419776e-05,普通,普通,,11,0.0060764099201758995,-0.006091493881520097,2,0.0004224929602189341,-0.00043757692156313186,-0.003630401112074633,0.004052894072293567,560
13,rank,monthly,mode=rank、cadence=monthly,-2.2940426563478056e-05,普通,普通,,11,0.0033052506444459437,-0.0033281910710094217,2,-0.0005285419190219259,0.0005056014924584479,-0.004793976523085701,0.004265434604063775,560
15,rank,monthly,mode=rank、cadence=monthly,-8.399402504077891e-05,普通,普通,,7,0.007660673042245628,-0.007744667067286407,1,-0.00043048558658328946,0.00034649156154251056,-0.0031010081562889502,0.002670522569705661,560
10,rank,quarterly,mode=rank、cadence=quarterly,-0.0003499100766266,普通,普通,,11,0.0037648649060463835,-0.004114774982672984,2,-0.002712918049921633,0.002363007973295033,0.0004969567054990999,-0.003209874755420733,188
14,rank,monthly,mode=rank、cadence=monthly,-0.0007769771481258,普通,普通,,11,0.005905487988732721,-0.0066824651368585205,2,-0.000294637199910019,-0.00048233994821578104,-0.0034729713084214,0.003178334108511381,560
12,rank,monthly,mode=rank、cadence=monthly,-0.0007857081823765,普通,普通,,11,0.0018777241492173354,-0.002663432331593835,2,0.00013034945543944067,-0.0009160576378159406,-0.004565705089419301,0.004696054544858741,560
11,winner,quarterly,mode=winner、cadence=quarterly,-0.0008388498928637,普通,普通,,11,0.0024627744800180167,-0.003301624372881717,2,-0.0009394305237378333,0.00010058063087413328,-0.003276709244066067,0.0023372787203282336,50
13,winner,quarterly,mode=winner、cadence=quarterly,-0.0011446522006652,普通,普通,,11,0.0033052506444459437,-0.004449902845111144,2,0.0022834697663371,-0.0034281219670023,-0.004793976523085701,0.007077446289422801,48
8,rank,monthly,mode=rank、cadence=monthly,-0.0015122699710643,普通,普通,,11,0.0038672278506148,-0.0053794978216791,2,-0.001497255616271666,-1.5014354792634117e-05,-0.006301021287372533,0.004803765671100867,560
5,rank,monthly,mode=rank、cadence=monthly,-0.0017124300012392,普通,普通,,11,0.0047055989207862164,-0.006418028922025416,2,-0.0012580691949740667,-0.0004543608062651332,-0.005281290266303833,0.004023221071329766,560
15,rank,quarterly,mode=rank、cadence=quarterly,-0.0021654751179196,普通,普通,,7,0.007660673042245628,-0.009826148160165228,1,-0.0031010081562889502,0.0009355330383693503,-0.00043048558658328946,-0.002670522569705661,188
6,rank,monthly,mode=rank、cadence=monthly,-0.0022771862214205,普通,普通,,11,0.0013107902139066,-0.0035879764353271,2,-0.0023180097130220665,4.0823491601566474e-05,-0.006415655092187633,0.004097645379165566,560
7,rank,monthly,mode=rank、cadence=monthly,-0.0029644129164065,普通,普通,,11,0.0009044382929715502,-0.0038688512093780505,2,-0.0022512897029637667,-0.0007131232134427335,-0.007284701672551501,0.0050334119695877345,560
12,winner,quarterly,mode=winner、cadence=quarterly,-0.0031443016830303,普通,普通,,11,0.0018777241492173354,-0.005022025832247635,2,-0.0017092679255197333,-0.0014350337575105665,-0.004565705089419301,0.0028564371638995674,48
11,rank,quarterly,mode=rank、cadence=quarterly,-0.0033517268936591,普通,普通,,11,0.0024627744800180167,-0.005814501373677117,2,-0.003276709244066067,-7.501764959303315e-05,-0.0009394305237378333,-0.0023372787203282336,188
5,rank,quarterly,mode=rank、cadence=quarterly,-0.0034970363390265,普通,普通,,11,0.0047055989207862164,-0.008202635259812716,2,-0.005281290266303833,0.0017842539272773334,-0.0012580691949740667,-0.004023221071329766,188
