date,Open,High,Low,Close
2022-08-03,157.5389748705,163.1709639661,157.4508255847,162.7204132080
2022-08-04,162.6028441619,163.7586338893,161.0552699193,162.4069519043
2022-08-05,160.0823608156,162.6717690471,159.8763785280,162.1813507080
2022-08-08,163.1817804132,164.5941875124,161.0533667864,161.7105255127
2022-08-09,160.8768658503,162.6423751903,160.1216172781,161.7596130371
2022-08-10,164.4666628308,166.0948550691,163.7016115316,165.9967803955
2022-08-11,166.8010905635,167.7132764976,164.9669306825,165.2611846924
2022-08-12,166.5656954758,168.8706527396,166.1537308916,168.8020019531
2022-08-15,168.2331135298,170.0672733538,168.0663730882,169.8711090088
2022-08-16,169.4689784259,170.3811644180,168.3704460166,169.7141876221
2022-08-17,169.4591745959,172.7743927337,169.2630102333,171.2050628662
2022-08-18,170.4204001343,171.5483565083,169.8024681388,170.8127288818
2022-08-19,169.7141510997,170.4105516520,168.0271109961,168.2330932617
2022-08-22,166.4381639551,166.6049043801,163.9370276483,164.3587951660
2022-08-23,163.8782100602,165.4769787917,163.4564424647,164.0253295898
2022-08-24,164.1135822618,164.8884365678,163.0640799468,164.3195495605
2022-08-25,165.5455912786,166.8795295818,165.1238387471,166.7716369629
2022-08-26,167.3013082442,167.7721056278,160.4256340094,160.4844818115
2022-08-29,158.0618418321,159.7783062050,156.7573420792,158.2874450684
2022-08-30,159.0230722465,159.4448248789,154.6975784462,155.8647766113
2022-08-31,157.2379352522,157.5027653624,154.1286845852,154.2071533203
2022-09-01,153.6382414104,155.3841293268,151.7059921490,154.9329528809
2022-09-02,156.6886721974,157.2869832189,152.0002736883,152.8241729736
2022-09-06,153.4715361241,154.0796501541,150.7448110026,151.5687103271
2022-09-07,151.8531449792,153.6676838931,150.6663259877,152.9712982178
2022-09-08,151.6765892014,153.3636295507,149.7541426524,151.5000457764
2022-09-09,152.4906946776,154.7956670865,151.7844910020,154.3542785645
2022-09-12,156.5317319841,161.1122377709,156.2472959142,160.2981414795
2022-09-13,156.8357744464,157.4635093041,150.4309123152,150.8919067383
2022-09-14,151.8237009774,154.0894462481,150.6663208951,152.3337402344
2022-09-15,151.6863950591,152.2651001072,148.4790697120,149.4500885010
