lookback_months,mode,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
3,rank,monthly,0.0010214023853547527,560,普通,2,2,-0.0027796221303468815,-0.004680134388197699,0.0038010245157016342,,True,mode=rank、cadence=monthly,3,-0.004987653246998643,0.0022080311166517612
3,rank,quarterly,-0.0042057579587051475,188,普通,2,2,-0.004987653246998643,-0.005378600891145391,0.0007818952882934953,,True,mode=rank、cadence=quarterly,3,-0.0027796221303468815,-0.0022080311166517612
4,winner,monthly,0.02354032357063085,132,山脊,2,2,0.02562229181226172,0.026663275933077157,-0.0020819682416308716,0.9187438712787381,False,mode=winner、cadence=monthly,3,-0.004220490140866895,0.029842781953128616
4,winner,quarterly,0.0120315390607586,72,普通,2,2,0.014035121769897149,0.015036913124466422,-0.0020035827091385485,0.8572450783123322,False,mode=winner、cadence=quarterly,3,-0.004220490140866895,0.018255611910764045
4,rank,monthly,0.00021540863773750196,560,普通,2,2,-0.0001585396593823211,-0.00034551380794223263,0.000373948297119823,,False,mode=rank、cadence=monthly,3,-0.004220490140866895,0.0040619504814845735
4,rank,quarterly,-0.004958676124868999,188,普通,2,2,-0.004220490140866895,-0.0038513971488658427,-0.0007381859840021043,,False,mode=rank、cadence=quarterly,3,-0.0001585396593823211,-0.0040619504814845735
5,winner,monthly,0.025985908801725577,118,山脊,2,2,0.021700385364464243,0.019557623645833577,0.004285523437261334,1.197486052219107,True,mode=winner、cadence=monthly,3,-0.005281290266303899,0.026981675630768143
5,winner,quarterly,0.015947908905166175,62,孤峰,2,2,0.0036613697799585676,-0.002481899782645236,0.012286539125207607,4.355722001219621,True,mode=winner、cadence=quarterly,3,-0.005281290266303899,0.008942660046262468
5,rank,monthly,-0.001712430001239218,560,普通,2,2,-0.0012580691949741023,-0.0010308887918415444,-0.00045436080626511566,,False,mode=rank、cadence=monthly,3,-0.005281290266303899,0.004023221071329797
5,rank,quarterly,-0.003497036339026538,188,普通,2,2,-0.005281290266303899,-0.006173417229942579,0.0017842539272773612,,True,mode=rank、cadence=quarterly,3,-0.0012580691949741023,-0.004023221071329797
6,winner,monthly,0.015574923721036305,124,普通,2,2,0.018044369471264126,0.019279092346378035,-0.0024694457502278215,0.8631459107418277,False,mode=winner、cadence=monthly,3,-0.0064156550921876665,0.024460024563451793
6,winner,quarterly,-0.016995338626049072,60,普通,2,2,-0.004067543810427991,0.00239635359738255,-0.01292779481562108,,False,mode=winner、cadence=quarterly,3,-0.0064156550921876665,0.0023481112817596754
6,rank,monthly,-0.0022771862214205907,560,普通,2,2,-0.0023180097130221324,-0.0023384214588229035,4.0823491601541754e-05,,False,mode=rank、cadence=monthly,3,-0.0064156550921876665,0.0040976453791655345
6,rank,quarterly,-0.0073881583350161595,188,普通,2,2,-0.0064156550921876665,-0.00592940347077342,-0.000972503242828493,,False,mode=rank、cadence=quarterly,3,-0.004067543810427991,-0.0023481112817596754
7,winner,monthly,0.012572275891030493,112,普通,2,2,0.02043787140004179,0.024370669154547442,-0.007865595509011298,0.6151460514133965,False,mode=winner、cadence=monthly,3,-0.007284701672551537,0.027722573072593328
7,winner,quarterly,-0.011155201710401075,60,普通,2,2,-0.007284126852640312,-0.005348589423759931,-0.003871074857760763,,False,mode=winner、cadence=quarterly,3,-0.007284701672551537,5.748199112254326e-07
