lookback_months,mode,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
3,rank,quarterly,3.3246231357888805,0.13431389612109523,-0.3581246503826644,0.8258426966292135,1.9960450053249266,0.7682615658040814,313.85955056179773,0.8953322916490376,-0.05535577082584564,-0.004205788761024509,run-105e6683b2cba670,188,178,2929,2015-01-02,2026-08-26,False,0.3902
4,winner,monthly,4.7265742913904365,0.1620602864137144,-0.3408229096214356,0.5888888888888889,2.5021990005046293,0.9207763882974054,117.82222222222222,3.467834774039828,-0.02760938053322648,0.02354060153159465,run-4cba733b08440299,132,90,2929,2015-01-02,2026-08-26,False,0.249
4,winner,quarterly,4.101155765214056,0.15055107573306237,-0.39470518808213495,0.7045454545454546,1.9011607446906267,0.8141316650462824,156.6818181818182,2.337018268121824,-0.039118591213878506,0.012031390850942625,run-388d2dafaa224144,72,44,2929,2015-01-02,2026-08-26,False,0.1941
4,rank,monthly,3.5245785502020004,0.13873510183600923,-0.3447883651118885,0.7925233644859813,1.9233669121852786,0.812647642997435,194.2766355140187,1.2908321961348168,-0.05093456511093164,0.00021541695388949123,run-c5b2d0050871bcee,560,535,2929,2015-01-02,2026-08-26,False,0.2812
4,rank,quarterly,3.291387700141689,0.13356098131791394,-0.3581217423725732,0.8685714285714285,1.22138199722917,0.7648031749291675,352.85714285714283,0.7700781614680786,-0.05610868562902693,-0.004958703564205802,run-823390347b2c40cb,188,175,2929,2015-01-02,2026-08-26,False,0.3526
5,winner,monthly,4.868150169379041,0.16450537748006155,-0.35908323748175464,0.5783132530120482,2.0809072765159775,0.9435703743834449,130.72289156626505,2.783758829745556,-0.02516428946687932,0.025985692597941812,run-4717e471f92c77f1,118,83,2929,2015-01-02,2026-08-26,False,0.2677
5,winner,quarterly,4.306589063790736,0.15446735874084094,-0.39470518808213484,0.6923076923076923,1.4432497357049068,0.8331002602908519,171.97435897435898,1.6499050845807808,-0.03520230820609993,0.0159476738587212,run-e43c5ecda7277e07,62,39,2929,2015-01-02,2026-08-26,False,0.2326
5,rank,monthly,3.436370607860548,0.13680721301044563,-0.3474576791918873,0.7969924812030075,1.2549754700227729,0.7938470869113041,203.20676691729324,1.2265151326235608,-0.052862453936495246,-0.001712471871674115,run-bec685680e75ac6f,560,532,2929,2015-01-02,2026-08-26,False,0.2634
5,rank,quarterly,3.356121834396113,0.1350226017332432,-0.35753479589247317,0.8411764705882353,1.4977429890808043,0.7749849809393344,373.9764705882353,0.6473171840656187,-0.054647065213697665,-0.003497083148876534,run-0971e518675fa43c,188,170,2929,2015-01-02,2026-08-26,False,0.2047
6,winner,monthly,4.286730288377479,0.15409488817228056,-0.3428369419010562,0.5581395348837209,1.8548260324039432,0.876284062705211,126.43023255813954,3.174501197143849,-0.03557477877466031,0.015575203290160822,run-6efeea8c5387f194,124,86,2929,2015-01-02,2026-08-26,False,0.2691
6,winner,quarterly,2.7907864778029867,0.12152425705163816,-0.39470518808213484,0.6842105263157895,1.2064302969605716,0.5879658022011891,178.18421052631578,1.7138830155726972,-0.06814540989530271,-0.01699542783048158,run-d5d698ce8c5b9bbb,60,38,2929,2015-01-02,2026-08-26,False,0.18
6,rank,monthly,3.4108326922162417,0.13624251137825238,-0.3516831030496932,0.8157894736842105,1.1434651031144372,0.7855958576682367,215.59586466165413,1.1667625359691367,-0.05342715556868849,-0.002277173503867358,run-88b44cd7571f2918,560,532,2929,2015-01-02,2026-08-26,False,0.2663
6,rank,quarterly,3.18572990372682,0.13113149548821146,-0.3575347974498325,0.8520710059171598,1.6172842244193937,0.7416991300296668,429.03550295857985,0.6221241165022512,-0.058538171458729416,-0.007388189393908284,run-30b99d4df18fe487,188,169,2929,2015-01-02,2026-08-26,False,0.1878
7,winner,monthly,4.129073381513263,0.1510916575369612,-0.3408229096214357,0.55,1.9604605745423533,0.8365281983028867,136.15,2.600907405424503,-0.038578009409979686,0.012571972654841446,run-b8d92a716546d59f,112,80,2929,2015-01-02,2026-08-26,False,0.2369
7,winner,quarterly,3.0265904634781924,0.1273643302438121,-0.39470518808213495,0.6842105263157895,1.1381014845471593,0.6339452510421849,178.18421052631578,1.722576477080125,-0.062305336703128766,-0.011155354638307635,run-7b66f4e9011fc8db,60,38,2929,2015-01-02,2026-08-26,False,0.2065
7,rank,monthly,3.379933388818971,0.1355552485174405,-0.3433748566538173,0.8406072106261859,1.171854331064036,0.7804923902713071,253.16888045540796,1.0038301315246532,-0.05411441842950038,-0.002964436364679246,run-f9986d71ff8b1ae4,560,527,2929,2015-01-02,2026-08-26,False,0.3273
7,rank,quarterly,3.1440589799114695,0.1301578780574395,-0.3580995957809191,0.8705882352941177,1.1164838052174357,0.7323047229102793,432.54117647058825,0.6115051577399789,-0.05951178888950137,-0.00836180682468024,run-004fdf58e2cb918c,188,170,2929,2015-01-02,2026-08-26,False,0.5303
8,winner,monthly,5.302623265511924,0.17168606161113908,-0.3376161308275889,0.589041095890411,2.8655993552488304,0.9959270841184802,150.95890410958904,1.961164052864673,-0.01798360533580179,0.03316637672901934,run-6fb38f3eef8546e0,98,73,2929,2015-01-02,2026-08-26,False,0.3964
