cik,status,bytes,detail
0000063276,ok,4164495.0,
0000063754,ok,3303371.0,
0000063908,ok,3579350.0,
0000064040,ok,4297774.0,
0000064803,ok,4462140.0,
0000065984,ok,4823074.0,
0000066740,ok,5240644.0,
0000068505,ok,5298133.0,
0000070318,ok,4458748.0,
0000070858,ok,6850285.0,
0000071691,ok,3987144.0,
0000072207,ok,3116239.0,
0000072331,ok,3296476.0,
0000072333,ok,2879480.0,
0000072741,ok,3792139.0,
0000072903,ok,4328029.0,
0000072971,ok,7805793.0,
0000073124,ok,5854501.0,
0000073309,ok,3937394.0,
0000074208,ok,4050628.0,
0000075362,ok,3138130.0,
0000075677,ok,3581237.0,
0000075829,ok,1216384.0,
0000076334,ok,3952515.0,
0000077360,ok,4798391.0,
0000077476,ok,4932092.0,
0000078003,ok,5032767.0,
0000078239,ok,3841543.0,
0000078814,ok,5749021.0,
0000079282,ok,3872320.0,
0000079879,ok,5422503.0,
0000080424,ok,3911151.0,
0000080661,ok,5157763.0,
0000084839,ok,2994179.0,
0000085961,ok,4076360.0,
0000086144,ok,1585965.0,
0000086312,ok,4338671.0,
0000087347,ok,3893114.0,
0000089800,ok,4476668.0,
0000090185,ok,1326973.0,
0000091142,ok,3084281.0,
0000091419,ok,3532943.0,
0000091440,ok,4315702.0,
0000091576,ok,6308337.0,
0000092122,ok,4190929.0,
0000092230,ok,6021355.0,
0000092380,ok,4083360.0,
0000093410,ok,4810683.0,
0000093556,ok,5126627.0,
0000093751,ok,6124478.0,
0000095521,ok,2053037.0,
0000096021,ok,3955919.0,
0000096223,ok,6400479.0,
0000096943,ok,4128690.0,
0000097210,ok,5116469.0,
0000097476,ok,3650054.0,
0000097745,ok,5170585.0,
0000100493,ok,3547405.0,
0000100517,ok,3570715.0,
0000100885,ok,3598043.0,
0000101829,ok,5137052.0,
0000103379,ok,5227136.0,
0000104169,ok,3770257.0,
0000104889,ok,5329595.0,
0000105634,ok,3617203.0,
0000105770,ok,4162704.0,
0000106040,ok,4245311.0,
0000106535,ok,3476958.0,
0000106640,ok,4114760.0,
0000107263,ok,4891102.0,
0000109198,ok,3654400.0,
0000109380,ok,6467380.0,
0000200406,ok,4168526.0,
0000202058,ok,4274516.0,
0000216228,ok,5090131.0,
0000217346,ok,3582404.0,
0000277135,ok,3631121.0,
0000277948,ok,2967098.0,
0000310158,ok,4487341.0,
0000310764,ok,3746862.0,
0000313616,ok,4573814.0,
0000313927,ok,3845215.0,
0000314808,ok,4573653.0,
0000315189,ok,5244762.0,
0000315213,ok,2621537.0,
0000315293,ok,4736396.0,
0000315852,ok,4676110.0,
0000316206,ok,1989477.0,
0000316709,ok,5194020.0,
0000317771,ok,999726.0,
0000318154,ok,3691898.0,
0000319201,ok,4900965.0,
0000320187,ok,3022251.0,
0000320193,ok,3789099.0,
0000320335,ok,4818556.0,
0000350563,ok,1613958.0,
0000350698,ok,3409892.0,
0000352541,ok,3390539.0,
0000352915,ok,3518923.0,
0000353944,ok,1819277.0,
0000354190,ok,3978134.0,
0000354908,ok,2613650.0,
0000354950,ok,3216683.0,
0000701985,ok,3904513.0,
0000702165,ok,3077075.0,
0000707549,ok,4073021.0,
0000711404,ok,3768574.0,
0000712515,ok,3754176.0,
0000713671,ok,2769715.0,
0000713676,ok,6060808.0,
0000715957,ok,5611229.0,
0000717423,ok,4389037.0,
0000718877,ok,2872983.0,
0000719739,ok,4282477.0,
0000719955,ok,2987162.0,
0000720005,ok,5453435.0,
0000721371,ok,3684828.0,
0000723125,ok,4084347.0,
0000723254,ok,3450618.0,
0000723531,ok,3452718.0,
0000726728,ok,3235550.0,
0000726958,ok,2464377.0,
0000728535,ok,2374661.0,
0000731766,ok,4384010.0,
0000731802,ok,3515042.0,
0000732485,ok,528917.0,
0000732712,ok,4349995.0,
0000732717,ok,4734140.0,
0000736157,failed,,HTTP 404 (no such document)
0000740260,ok,4543836.0,
0000743316,ok,2865002.0,
0000743988,ok,2906918.0,
0000745732,ok,3014271.0,
0000746515,ok,3170162.0,
0000749251,ok,3626732.0,
0000750556,ok,4510764.0,
0000753308,ok,3918900.0,
0000754737,ok,2062643.0,
0000758004,ok,141708.0,
0000759944,ok,4907248.0,
0000764065,ok,4851766.0,
0000764180,ok,3771084.0,
0000764478,ok,4010354.0,
0000764622,ok,4127165.0,
0000765880,ok,4793526.0,
0000766421,ok,3666062.0,
0000766704,ok,5375469.0,
0000768251,ok,1351016.0,
0000769397,ok,4195120.0,
0000773840,ok,4558324.0,
0000773910,ok,2697070.0,
0000779152,ok,3321994.0,
0000783325,ok,4185336.0,
0000788784,ok,4180713.0,
