ticker,display_name,joined_on,left_on,delisted_or_removed,cik,cik_source,cik_note
CHRS,,1996-01-02,1998-04-08,True,,,no display_name recorded; ticker not in anchors nor current map
CIN,,1996-01-02,2006-04-03,True,,,no display_name recorded; ticker not in anchors nor current map
CIT.A,,2000-07-17,2001-06-04,True,,,no display_name recorded; ticker not in anchors nor current map
CITGQ,,2004-10-27,2009-07-27,True,,,no display_name recorded; ticker not in anchors nor current map
CMA,,1996-01-02,2024-06-24,True,,,no display_name recorded; ticker not in anchors nor current map
CMB,,1996-01-02,1996-04-01,True,,,no display_name recorded; ticker not in anchors nor current map
CMCSK,,2015-09-21,2015-12-14,True,,,no display_name recorded; ticker not in anchors nor current map
CMVT,,1999-10-27,2007-02-01,True,,,no display_name recorded; ticker not in anchors nor current map
CMX,,2004-03-25,2007-03-23,True,,,no display_name recorded; ticker not in anchors nor current map
CNG,,1996-01-02,2000-01-31,True,,,no display_name recorded; ticker not in anchors nor current map
CNW,,1996-01-02,1996-12-03,True,,,no display_name recorded; ticker not in anchors nor current map
CNXT,,2000-01-31,2002-06-26,True,,,no display_name recorded; ticker not in anchors nor current map
COC.B,,1999-08-09,2002-09-03,True,,,no display_name recorded; ticker not in anchors nor current map
COG,,2008-06-23,2021-10-04,True,,,no display_name recorded; ticker not in anchors nor current map
COMS,,1996-01-02,2000-07-28,True,,,no display_name recorded; ticker not in anchors nor current map
CPNLQ,,2000-12-01,2005-12-02,True,,,no display_name recorded; ticker not in anchors nor current map
CPQ,,1996-01-02,2002-05-06,True,,,no display_name recorded; ticker not in anchors nor current map
CR,,1996-01-02,2004-12-20,True,,,no display_name recorded; ticker not in anchors nor current map
CRR,,1996-01-02,1997-05-27,True,,,no display_name recorded; ticker not in anchors nor current map
CSE,,1996-01-22,1999-11-15,True,,,no display_name recorded; ticker not in anchors nor current map
CSR,,1996-01-02,2000-06-16,True,,,no display_name recorded; ticker not in anchors nor current map
CTB,,1996-01-02,2006-07-18,True,,,no display_name recorded; ticker not in anchors nor current map
CTL,,1999-03-25,2020-09-18,True,,,no display_name recorded; ticker not in anchors nor current map
CTX,,1996-01-02,2009-08-19,True,,,no display_name recorded; ticker not in anchors nor current map
CVC,,2010-12-20,2016-06-21,True,,,no display_name recorded; ticker not in anchors nor current map
CVG,,2000-06-13,2009-12-21,True,,,no display_name recorded; ticker not in anchors nor current map
CVH,,2005-08-30,2013-05-07,True,,,no display_name recorded; ticker not in anchors nor current map
CXO,,2016-02-22,2021-01-21,True,,,no display_name recorded; ticker not in anchors nor current map
CYM,,1996-01-02,1999-10-18,True,,,no display_name recorded; ticker not in anchors nor current map
CYR,,1996-01-02,1996-03-28,True,,,no display_name recorded; ticker not in anchors nor current map
DALRQ,,1996-01-02,2005-08-19,True,,,no display_name recorded; ticker not in anchors nor current map
DAY,,2024-02-01,2026-02-09,True,,,no display_name recorded; ticker not in anchors nor current map
DCNAQ,,1996-01-02,2006-03-03,True,,,no display_name recorded; ticker not in anchors nor current map
DDR,,2007-03-23,2009-03-30,True,,,no display_name recorded; ticker not in anchors nor current map
DDS,,1996-01-02,2008-10-22,True,,,no display_name recorded; ticker not in anchors nor current map
DEC,,1996-01-02,1998-06-12,True,,,no display_name recorded; ticker not in anchors nor current map
DF,,2006-04-03,2013-05-24,True,,,no display_name recorded; ticker not in anchors nor current map
DFS,,2007-07-02,2025-05-19,True,,,no display_name recorded; ticker not in anchors nor current map
DGN,,1996-01-02,1999-10-13,True,,,no display_name recorded; ticker not in anchors nor current map
DI,,1996-01-02,1998-09-30,True,,,no display_name recorded; ticker not in anchors nor current map
DIGI,,1996-01-02,1998-08-28,True,,,no display_name recorded; ticker not in anchors nor current map
DISH,,2017-03-13,2023-06-20,True,,,no display_name recorded; ticker not in anchors nor current map
DJ,,1996-01-02,2007-12-14,True,,,no display_name recorded; ticker not in anchors nor current map
DLX,,1996-01-02,2004-12-20,True,,,no display_name recorded; ticker not in anchors nor current map
DO,,2009-02-26,2016-10-03,True,,,no display_name recorded; ticker not in anchors nor current map
DPHIQ,,1999-05-28,2005-10-11,True,,,no display_name recorded; ticker not in anchors nor current map
DRE,,2017-07-26,2022-10-03,True,,,no display_name recorded; ticker not in anchors nor current map
